O_Curiosidad,O_Creatividad,O_Adaptabilidad,O_ExploracionIdeas,O_EvadeRutina,C_Planificacion,C_Puntualidad,C_Organizacion,C_Compromiso,C_EsmeroMetas,E_DisfruteSocial,E_HablaFacil,E_ComodidadSocial,E_EnergiaSocial,E_PrefiereGrupos,A_Empatia,A_Altruismo,A_EscuchaActiva,A_EvitaConflictos,A_ComprensionEmocional,N_Ansiedad,N_Irritabilidad,N_ManejoEstres,N_PreocupacionExcesiva,N_SensibilidadErrores
Rara vez,A veces,Rara vez,Siempre,Siempre,Siempre,Siempre,Rara vez,Rara vez,A veces,A menudo,Nunca,Rara vez,Siempre,A menudo,A veces,Siempre,A veces,Siempre,Nunca,Rara vez,A menudo,Siempre,Siempre,Nunca
Nunca,A veces,Siempre,Nunca,Nunca,Nunca,A veces,A menudo,A veces,Nunca,A menudo,Siempre,Rara vez,Nunca,A menudo,Siempre,Nunca,Siempre,Siempre,Nunca,Rara vez,A veces,A veces,Siempre,Nunca
A menudo,A menudo,A menudo,Rara vez,A menudo,Siempre,Siempre,Rara vez,Siempre,A veces,Siempre,Rara vez,Rara vez,Siempre,A veces,Rara vez,Rara vez,Siempre,A menudo,A menudo,Rara vez,A veces,Nunca,A menudo,A menudo
Rara vez,A veces,Siempre,Nunca,Siempre,A menudo,A veces,A menudo,Nunca,Nunca,A menudo,Siempre,Siempre,Rara vez,Siempre,Siempre,Nunca,A menudo,A veces,Nunca,A menudo,A menudo,A menudo,A menudo,A veces
Rara vez,Siempre,Siempre,A menudo,Rara vez,Rara vez,A menudo,A veces,A veces,Siempre,A menudo,Siempre,Siempre,A menudo,A menudo,A menudo,Rara vez,Rara vez,Nunca,Nunca,Siempre,Siempre,A veces,A menudo,A veces
A veces,Siempre,A veces,A veces,A menudo,Rara vez,A menudo,Siempre,Nunca,A menudo,Rara vez,A veces,Rara vez,Nunca,A veces,Nunca,Nunca,Rara vez,Siempre,Siempre,A menudo,Nunca,Rara vez,Siempre,A menudo
A veces,Rara vez,Siempre,Rara vez,A veces,Nunca,A menudo,A menudo,Rara vez,Nunca,Rara vez,A veces,Siempre,A veces,Nunca,Rara vez,A veces,Siempre,Rara vez,A menudo,Siempre,A menudo,Nunca,A veces,A menudo
A menudo,Nunca,Rara vez,Nunca,Rara vez,A veces,A veces,A menudo,A veces,A veces,A menudo,A menudo,Nunca,Rara vez,A veces,Siempre,Rara vez,A menudo,Rara vez,Rara vez,A menudo,Rara vez,A menudo,Rara vez,A veces
A menudo,Nunca,Siempre,A veces,Nunca,Siempre,Rara vez,Rara vez,A veces,Siempre,Rara vez,Nunca,Rara vez,Siempre,Nunca,A veces,Siempre,Rara vez,Siempre,Siempre,Nunca,Nunca,A veces,Rara vez,Nunca
A veces,Nunca,A menudo,Rara vez,A menudo,Siempre,A menudo,A veces,A menudo,Rara vez,Siempre,A menudo,Rara vez,Rara vez,Nunca,Siempre,A menudo,Nunca,A menudo,Rara vez,Nunca,A veces,Nunca,A veces,A menudo
Siempre,A menudo,Rara vez,Nunca,A veces,Siempre,Nunca,A menudo,A veces,Rara vez,Siempre,Rara vez,Rara vez,Rara vez,A menudo,A veces,Rara vez,Siempre,Rara vez,Nunca,Siempre,Siempre,A veces,A menudo,Siempre
Nunca,Rara vez,Siempre,A menudo,Siempre,Siempre,A menudo,A menudo,A menudo,Rara vez,Rara vez,Siempre,Nunca,Nunca,A veces,A menudo,Nunca,Siempre,A veces,Nunca,Siempre,Nunca,Rara vez,A menudo,Siempre
Nunca,A menudo,Nunca,A menudo,Siempre,Siempre,Nunca,Siempre,A veces,Siempre,A menudo,A veces,Siempre,A veces,A menudo,A menudo,Siempre,A menudo,Rara vez,Rara vez,A veces,Siempre,A veces,A menudo,A veces
Rara vez,Nunca,Siempre,Rara vez,Siempre,A menudo,A menudo,A menudo,Rara vez,A veces,Siempre,Nunca,A menudo,A veces,A veces,A veces,Rara vez,A menudo,A menudo,A veces,Nunca,A menudo,Siempre,A veces,A veces
A menudo,A menudo,A menudo,Rara vez,A menudo,Rara vez,A menudo,Rara vez,A menudo,Siempre,Nunca,Nunca,A veces,Nunca,Rara vez,Rara vez,A menudo,A menudo,A veces,Siempre,Nunca,Rara vez,A veces,Rara vez,Nunca
A menudo,Nunca,Rara vez,Nunca,Rara vez,Rara vez,Nunca,Rara vez,Siempre,Rara vez,A menudo,A veces,A menudo,Nunca,Siempre,Siempre,A menudo,Siempre,Siempre,Rara vez,A veces,A menudo,Rara vez,Rara vez,Siempre
A menudo,Rara vez,A menudo,A menudo,A veces,Rara vez,A veces,Rara vez,Rara vez,Nunca,Siempre,A menudo,Nunca,A veces,A veces,Nunca,Rara vez,Nunca,A menudo,Rara vez,A menudo,Nunca,Nunca,A menudo,Siempre
A veces,Siempre,A veces,Nunca,Siempre,A menudo,Siempre,Siempre,Nunca,A veces,Siempre,Rara vez,Nunca,Siempre,A veces,Nunca,Siempre,Nunca,Nunca,A menudo,Siempre,A menudo,A menudo,Nunca,A veces
Siempre,A veces,Nunca,Siempre,Siempre,Nunca,Siempre,A menudo,Rara vez,A veces,Siempre,Siempre,A veces,Nunca,Rara vez,Siempre,A menudo,Siempre,A veces,Siempre,Nunca,A veces,A menudo,Rara vez,A menudo
Siempre,A menudo,Rara vez,A veces,Siempre,Siempre,A menudo,A menudo,A veces,Nunca,A veces,Siempre,A veces,A menudo,Rara vez,Siempre,Siempre,A menudo,A veces,Siempre,Rara vez,Nunca,A menudo,Rara vez,Nunca
Siempre,A veces,A menudo,Rara vez,A veces,Rara vez,A menudo,Siempre,A menudo,A menudo,Nunca,Nunca,Nunca,Nunca,A veces,Siempre,Rara vez,A menudo,Nunca,A veces,Siempre,A veces,Nunca,Nunca,Siempre
A menudo,A veces,A veces,A menudo,A veces,A menudo,Nunca,Rara vez,Siempre,Rara vez,Siempre,Nunca,Siempre,Nunca,Nunca,A veces,A veces,A menudo,Rara vez,A veces,Rara vez,A menudo,A menudo,Rara vez,Siempre
Rara vez,Rara vez,Nunca,Rara vez,Rara vez,Siempre,A menudo,Siempre,Nunca,A veces,Rara vez,A menudo,Siempre,A veces,Siempre,Rara vez,A menudo,Rara vez,Nunca,A veces,Rara vez,Siempre,A veces,Siempre,Nunca
Rara vez,A menudo,Nunca,Rara vez,Siempre,A veces,Rara vez,A menudo,Siempre,Rara vez,Rara vez,Nunca,Nunca,A menudo,A veces,A menudo,A menudo,Siempre,A veces,Siempre,Rara vez,Nunca,Siempre,Rara vez,A veces
Siempre,Siempre,A menudo,Siempre,Siempre,Siempre,A veces,Rara vez,Siempre,Nunca,Siempre,Rara vez,Nunca,Nunca,Siempre,Rara vez,Nunca,A veces,Siempre,Siempre,A veces,A menudo,A menudo,Nunca,Rara vez
A veces,Nunca,Nunca,Rara vez,Siempre,Rara vez,Nunca,A veces,Siempre,Rara vez,Rara vez,A menudo,A menudo,Nunca,Nunca,Siempre,Siempre,A menudo,A veces,Rara vez,Nunca,A menudo,Rara vez,A veces,Siempre
Siempre,A menudo,Siempre,A veces,Rara vez,Nunca,Rara vez,Nunca,Rara vez,A menudo,Rara vez,Nunca,A veces,A veces,Siempre,Siempre,Rara vez,A veces,Rara vez,Siempre,Siempre,Nunca,A veces,Siempre,A menudo
Rara vez,Nunca,A veces,Nunca,A menudo,A veces,A veces,Siempre,Siempre,A veces,Siempre,A veces,Rara vez,A veces,Rara vez,Rara vez,Rara vez,Nunca,Nunca,Siempre,A menudo,Rara vez,Siempre,A veces,A veces
Siempre,Nunca,Siempre,A veces,Siempre,A veces,Siempre,A menudo,A veces,A menudo,A veces,A menudo,A veces,Siempre,Nunca,Rara vez,A menudo,Siempre,Siempre,Rara vez,A veces,Nunca,A menudo,A veces,Siempre
A menudo,Rara vez,A menudo,A veces,Nunca,Siempre,Siempre,Rara vez,Nunca,A veces,A veces,A menudo,Rara vez,Siempre,Siempre,A menudo,Rara vez,A menudo,Nunca,Nunca,Nunca,Nunca,A veces,Nunca,A menudo
Nunca,A veces,Siempre,Nunca,Rara vez,A menudo,Rara vez,A menudo,A menudo,A menudo,Rara vez,A menudo,A menudo,Nunca,A veces,Nunca,Siempre,A menudo,Nunca,Siempre,Rara vez,Nunca,Nunca,Nunca,Rara vez
Siempre,Siempre,A menudo,Siempre,Rara vez,A menudo,A menudo,Rara vez,Nunca,Siempre,A menudo,Rara vez,Rara vez,Nunca,Nunca,A menudo,Rara vez,Rara vez,Siempre,A veces,Siempre,Siempre,A veces,Nunca,A veces
Nunca,Nunca,A menudo,A veces,Nunca,Rara vez,A menudo,Siempre,Rara vez,A veces,Rara vez,Nunca,Siempre,A veces,Rara vez,A menudo,A menudo,Rara vez,Nunca,A menudo,A veces,A veces,Nunca,Nunca,A menudo
Siempre,Nunca,Nunca,A menudo,A menudo,Rara vez,Siempre,A menudo,A menudo,A veces,Nunca,Rara vez,Siempre,Siempre,A veces,Rara vez,A menudo,Nunca,Rara vez,A veces,A menudo,Rara vez,Nunca,A veces,Nunca
A veces,A veces,A veces,Rara vez,Rara vez,Nunca,A veces,Rara vez,Nunca,A menudo,Rara vez,A menudo,Nunca,Rara vez,A menudo,Rara vez,Nunca,Nunca,Siempre,Nunca,Rara vez,Siempre,A menudo,Siempre,Nunca
Rara vez,Rara vez,A veces,A menudo,A veces,Siempre,A menudo,Rara vez,A veces,Nunca,Siempre,A menudo,Rara vez,Nunca,A menudo,A menudo,Nunca,A veces,Rara vez,Rara vez,Rara vez,Nunca,Nunca,Nunca,A veces
A veces,A veces,Rara vez,Siempre,A menudo,Nunca,Rara vez,Siempre,A menudo,Rara vez,A veces,Siempre,Siempre,A veces,A veces,Siempre,A menudo,Siempre,Rara vez,A menudo,A veces,Nunca,Siempre,A menudo,A menudo
A menudo,Rara vez,A veces,A veces,A menudo,Nunca,Rara vez,Rara vez,A menudo,A menudo,Rara vez,Nunca,A veces,A veces,A veces,Rara vez,A veces,Siempre,Rara vez,Siempre,Siempre,A veces,Rara vez,A menudo,Nunca
A menudo,Nunca,A veces,Siempre,Rara vez,Nunca,A veces,A menudo,Nunca,A veces,A menudo,A veces,Rara vez,Rara vez,Rara vez,A veces,Nunca,Siempre,Siempre,Nunca,Nunca,Rara vez,A veces,Rara vez,A veces
Nunca,Rara vez,Rara vez,Siempre,Siempre,A veces,Nunca,A menudo,Siempre,A veces,Siempre,Nunca,Nunca,A veces,A veces,Siempre,Nunca,Nunca,Siempre,Rara vez,Nunca,A menudo,A menudo,Siempre,Rara vez
Siempre,A menudo,A veces,Rara vez,Siempre,Nunca,Siempre,Siempre,A veces,A menudo,A menudo,A veces,Siempre,A menudo,Nunca,Rara vez,Siempre,Rara vez,Siempre,A veces,Siempre,A veces,Nunca,Siempre,Nunca
Nunca,A menudo,A menudo,Siempre,Nunca,A menudo,Nunca,A menudo,A veces,A veces,Rara vez,A menudo,A veces,A veces,A veces,Rara vez,A veces,A veces,Siempre,A veces,A veces,A veces,A veces,A veces,Nunca
A menudo,Siempre,A veces,Siempre,Rara vez,A veces,Nunca,A menudo,Siempre,A menudo,Nunca,Siempre,A veces,A menudo,A veces,A menudo,A menudo,A menudo,Rara vez,Rara vez,A menudo,A veces,A veces,Rara vez,Nunca
Nunca,Rara vez,A menudo,Rara vez,Siempre,Nunca,A menudo,A veces,A veces,Nunca,Siempre,Siempre,Siempre,A veces,A veces,A menudo,A menudo,Siempre,Nunca,Nunca,A menudo,Nunca,A veces,Nunca,Siempre
Nunca,Siempre,Rara vez,Siempre,Rara vez,Rara vez,A veces,A veces,Nunca,A veces,Nunca,Nunca,Rara vez,A veces,Rara vez,Rara vez,A menudo,Rara vez,A veces,Rara vez,A menudo,Rara vez,Siempre,Rara vez,Nunca
Nunca,Rara vez,A menudo,Nunca,Rara vez,Nunca,Rara vez,Rara vez,A menudo,Rara vez,Siempre,Nunca,A veces,Rara vez,A menudo,A menudo,Nunca,Siempre,Nunca,Nunca,A veces,Siempre,Nunca,A menudo,Rara vez
Rara vez,Nunca,A veces,Rara vez,Siempre,Siempre,Nunca,Nunca,Rara vez,Siempre,Rara vez,A menudo,Rara vez,A menudo,A veces,Siempre,Siempre,Nunca,A veces,Siempre,Siempre,Siempre,Siempre,A veces,A veces
A menudo,A menudo,A veces,A menudo,Nunca,Rara vez,A veces,Rara vez,A menudo,A veces,Rara vez,A veces,A menudo,Siempre,Nunca,A menudo,Siempre,A menudo,Nunca,Nunca,Rara vez,A veces,A menudo,Siempre,Siempre
Siempre,Nunca,Rara vez,A menudo,A veces,Rara vez,A menudo,A menudo,Nunca,Nunca,Siempre,A veces,Siempre,A menudo,A veces,A menudo,A menudo,Siempre,Nunca,Rara vez,Rara vez,Rara vez,Nunca,Rara vez,Rara vez
A veces,Rara vez,Siempre,A menudo,Nunca,Rara vez,A menudo,Siempre,A veces,Rara vez,Siempre,A veces,Siempre,A veces,Nunca,Siempre,A veces,Siempre,Rara vez,A veces,Siempre,Rara vez,Rara vez,Rara vez,Siempre
A menudo,Rara vez,A menudo,A menudo,Siempre,Rara vez,A menudo,A menudo,A menudo,Rara vez,Rara vez,A menudo,Nunca,Rara vez,Siempre,A veces,A menudo,Nunca,Nunca,Siempre,Nunca,Rara vez,A veces,Rara vez,A veces
Siempre,A menudo,A menudo,A menudo,Siempre,Rara vez,Nunca,A veces,Siempre,Nunca,Rara vez,A menudo,A veces,Rara vez,A veces,Siempre,A veces,A veces,A menudo,Nunca,Rara vez,A menudo,Siempre,Nunca,Rara vez
Nunca,Rara vez,Nunca,Rara vez,A veces,A menudo,Nunca,A menudo,A veces,Siempre,Siempre,Siempre,A veces,A menudo,A veces,Nunca,A veces,A menudo,A veces,Rara vez,A menudo,A veces,A menudo,A menudo,Rara vez
Nunca,Nunca,Rara vez,Rara vez,Siempre,A veces,Rara vez,A menudo,A veces,A veces,Rara vez,Nunca,A veces,Rara vez,Rara vez,A menudo,Siempre,A menudo,Siempre,Rara vez,Rara vez,A veces,Siempre,Rara vez,A veces
A veces,A veces,Rara vez,A veces,Siempre,A menudo,A menudo,A menudo,Siempre,A menudo,A veces,Nunca,A veces,Nunca,Siempre,A menudo,Rara vez,A veces,Nunca,Siempre,Siempre,Nunca,A veces,Rara vez,Nunca
A menudo,A menudo,A veces,Rara vez,Rara vez,Rara vez,Nunca,A veces,Nunca,Nunca,Siempre,Siempre,Siempre,Rara vez,Siempre,A menudo,Rara vez,A veces,A veces,Rara vez,Rara vez,A veces,A veces,A menudo,Siempre
Rara vez,A veces,Rara vez,Siempre,A menudo,A veces,Siempre,A veces,Siempre,A veces,Nunca,A veces,Nunca,A veces,A menudo,Nunca,Nunca,Rara vez,A veces,A veces,A menudo,Nunca,A veces,Rara vez,Rara vez
Nunca,Rara vez,Nunca,A menudo,Rara vez,Rara vez,A veces,A menudo,Siempre,Nunca,Siempre,A menudo,Rara vez,Siempre,A veces,A menudo,Nunca,A veces,Rara vez,Nunca,Rara vez,Rara vez,Nunca,Siempre,Nunca
A menudo,Siempre,Rara vez,Siempre,Nunca,Rara vez,A veces,Rara vez,Siempre,Rara vez,Nunca,Rara vez,A menudo,Nunca,A menudo,A veces,Nunca,A veces,Nunca,Nunca,Siempre,Siempre,A menudo,Rara vez,A menudo
A menudo,Siempre,Rara vez,Rara vez,Nunca,Rara vez,A veces,A menudo,Nunca,Nunca,Rara vez,A menudo,Rara vez,A menudo,Siempre,A veces,Siempre,A menudo,A veces,A veces,Siempre,Rara vez,A veces,A veces,Nunca
Nunca,Nunca,Nunca,A veces,Nunca,A veces,Nunca,Siempre,A veces,Siempre,Siempre,A veces,A menudo,A menudo,Rara vez,A veces,A menudo,Nunca,Rara vez,A menudo,Siempre,Rara vez,Nunca,A veces,A veces
A veces,Nunca,Nunca,A veces,A menudo,Nunca,Rara vez,Rara vez,A veces,Siempre,Siempre,Nunca,A menudo,A veces,Nunca,A veces,Rara vez,Rara vez,A menudo,A veces,A veces,A menudo,Rara vez,A veces,Rara vez
A veces,Nunca,Siempre,Siempre,A veces,Nunca,Nunca,Nunca,A menudo,Siempre,Rara vez,A veces,Nunca,Nunca,A menudo,A menudo,A menudo,A menudo,Rara vez,Nunca,A veces,A menudo,Siempre,A menudo,Nunca
A veces,Nunca,Rara vez,A menudo,Siempre,Rara vez,Siempre,A veces,A menudo,A menudo,Nunca,Rara vez,A menudo,Siempre,A menudo,Rara vez,Siempre,Nunca,A veces,A menudo,Nunca,Siempre,A menudo,Siempre,A menudo
Siempre,Nunca,Rara vez,A menudo,Rara vez,Nunca,Nunca,A menudo,Rara vez,A veces,Nunca,Siempre,Rara vez,Rara vez,Siempre,Nunca,Siempre,Nunca,A menudo,A menudo,Nunca,Siempre,Siempre,A menudo,A veces
A menudo,A menudo,Siempre,Nunca,A menudo,A veces,A veces,A veces,A veces,A menudo,A menudo,Nunca,A menudo,Rara vez,Nunca,Nunca,Rara vez,A veces,Siempre,Nunca,Nunca,Siempre,Nunca,A menudo,Siempre
Siempre,Siempre,Nunca,Nunca,Siempre,Siempre,A menudo,A menudo,Rara vez,A veces,Siempre,A veces,Nunca,A menudo,Siempre,A veces,Rara vez,A veces,Siempre,Rara vez,A veces,Rara vez,A veces,Nunca,A veces
Siempre,Nunca,Nunca,Nunca,A menudo,Rara vez,Rara vez,A veces,Siempre,A veces,A menudo,Siempre,A menudo,A veces,Rara vez,Nunca,Rara vez,Nunca,A veces,Nunca,Siempre,A menudo,A veces,Rara vez,A veces
Rara vez,Siempre,Rara vez,A veces,A menudo,A menudo,Rara vez,Rara vez,A veces,A veces,A menudo,A menudo,Siempre,Rara vez,Siempre,Nunca,A veces,Siempre,A veces,Nunca,A menudo,Siempre,Siempre,Rara vez,Rara vez
Nunca,Siempre,Rara vez,Nunca,Siempre,A menudo,Rara vez,Siempre,Siempre,Rara vez,Siempre,Siempre,A menudo,Siempre,Rara vez,A veces,Nunca,A menudo,A veces,Nunca,Rara vez,Rara vez,A veces,A veces,A menudo
Siempre,A menudo,A menudo,Rara vez,Nunca,A veces,Siempre,Rara vez,Nunca,Siempre,Siempre,A veces,Rara vez,A menudo,A veces,A menudo,A menudo,Siempre,Nunca,Siempre,Nunca,A veces,Siempre,A menudo,Nunca
Siempre,A menudo,A menudo,A menudo,Siempre,A menudo,Rara vez,Rara vez,A menudo,Siempre,A veces,A veces,Nunca,A veces,Rara vez,Siempre,A menudo,A veces,Siempre,A menudo,Siempre,Rara vez,A menudo,A menudo,Rara vez
Rara vez,Rara vez,Rara vez,Rara vez,Nunca,A menudo,Rara vez,A veces,Rara vez,Rara vez,A veces,A menudo,A menudo,A veces,Nunca,Siempre,Rara vez,Nunca,Rara vez,Siempre,Siempre,Nunca,Siempre,Siempre,A menudo
Siempre,A veces,Rara vez,Rara vez,A veces,Siempre,A menudo,Siempre,Siempre,Siempre,Nunca,Siempre,A menudo,Rara vez,Nunca,Siempre,Rara vez,Siempre,Siempre,A veces,Nunca,A menudo,Nunca,Nunca,A veces
A veces,Siempre,Rara vez,Rara vez,A menudo,Siempre,A veces,A veces,Nunca,Rara vez,Nunca,Rara vez,A veces,Nunca,A veces,Siempre,Siempre,Rara vez,Nunca,A veces,Nunca,A menudo,A veces,A veces,Nunca
Siempre,Siempre,A veces,Rara vez,Rara vez,A veces,Rara vez,A veces,Nunca,A menudo,Nunca,A veces,Rara vez,A veces,Siempre,Rara vez,Siempre,Nunca,Nunca,Rara vez,Rara vez,A menudo,Nunca,A veces,Nunca
A veces,A menudo,A veces,Rara vez,Siempre,Siempre,Siempre,A veces,Nunca,Rara vez,A veces,A menudo,Rara vez,A menudo,Siempre,A menudo,Rara vez,Rara vez,Siempre,Nunca,A veces,Nunca,Nunca,Rara vez,A menudo
Nunca,Siempre,A menudo,A menudo,Nunca,A veces,Siempre,Nunca,Nunca,Siempre,A menudo,Siempre,Nunca,Rara vez,A menudo,Nunca,Siempre,A veces,Nunca,A veces,Nunca,Nunca,Siempre,Siempre,Nunca
Rara vez,Siempre,A menudo,Nunca,A menudo,Nunca,Siempre,Nunca,Nunca,Rara vez,Rara vez,A menudo,A menudo,A menudo,Siempre,Nunca,Siempre,Siempre,Nunca,Rara vez,A menudo,Rara vez,A veces,Rara vez,A veces
Nunca,Nunca,A veces,Siempre,Siempre,Nunca,Rara vez,Siempre,Siempre,Nunca,A menudo,A veces,Nunca,A veces,Rara vez,Nunca,A menudo,Siempre,A menudo,Rara vez,A veces,A veces,Rara vez,A veces,Nunca
Rara vez,A veces,A menudo,Siempre,Siempre,Nunca,Rara vez,A menudo,A veces,Siempre,Nunca,A veces,A menudo,A menudo,Nunca,A veces,A veces,Rara vez,Siempre,A veces,A menudo,A veces,Nunca,A veces,Rara vez
A veces,A menudo,Rara vez,Rara vez,Rara vez,Siempre,A veces,A menudo,Siempre,Siempre,A menudo,Nunca,A veces,Rara vez,Rara vez,Siempre,A veces,A veces,Nunca,Nunca,A veces,Siempre,A veces,Nunca,Siempre
Siempre,A menudo,A menudo,A veces,A menudo,Nunca,Siempre,Siempre,A menudo,A menudo,Nunca,Siempre,Rara vez,A veces,A menudo,Nunca,A veces,A menudo,A menudo,Nunca,A menudo,Rara vez,Nunca,Nunca,A veces
Rara vez,A menudo,A menudo,Rara vez,A menudo,Nunca,Nunca,Rara vez,Nunca,Nunca,Siempre,A menudo,Nunca,A veces,Nunca,Siempre,Siempre,A veces,Siempre,Nunca,Nunca,A veces,A menudo,A menudo,Rara vez
